time,h,t,ppm,heat_index
2020-06-20 04:55:38,54.00,26.30,328,26.98
2020-06-20 04:55:43,54.00,26.30,327,26.98
2020-06-20 05:13:28,53.00,26.70,386,27.30
2020-06-20 05:14:28,52.00,26.90,437,27.44
2020-06-20 05:16:02,52.00,26.90,394,27.44
2020-06-20 05:17:02,52.00,27.00,393,27.54
2020-06-20 05:19:31,51.00,27.10,389,27.58
2020-06-20 05:20:31,51.00,27.20,384,27.68
2020-06-20 05:21:46,52.00,27.40,371,27.95
2020-06-20 05:24:04,51.00,27.40,387,27.88
2020-06-20 05:25:18,51.00,27.30,378,27.78
2020-06-20 05:26:18,51.00,27.40,378,27.88
